ตำบล,ประกอบกิจการ,คนงานรวม,ถนน,เลขที่,คนงานชาย,จังหวัด,โทรศัพท์,หมู่,ผู้ประกอบการ,GPSlat,ซอย,ชื่อโรงงาน,ไปรษณีย์,คนงานหญิง,_id,อำเภอ,GPSlong,เงินทุนรวม
บางภาษี,"การทำเครื่องประดับโดยใช้ทองคำ,ทองขาว,เงิน,นาก, หรืออัญมณี และกะไหล่ทองหรือโลหะมีค่า และการตัดเจียระไน หรือขัดเพชร พลอย",16,-,เลขที่ 555/85,10,นครปฐม,,12,บริษัท ห้างทองลายกนก จำกัด,,-,บริษัท ห้างทองลายกนก จำกัด,73130,6,2559,บางเลน,,125000000
หอมเกร็ด,ผลิตและแปรรูปทองคำเพื่อทำเป็นทองคำรูปพรรณและเครื่องประดับ,70,พุทธมณฑลสาย 7,เลขที่ 3/3,48,นครปฐม,,2,บริษัท เค.จี.อาร์.กรุ๊ป จำกัด,13.78181,เปี่ยมน้ำใจ,บริษัท เค.จี.อาร์.กรุ๊ป จำกัด,73110,22,2560,สามพราน,100.24605,28000000
ไร่ขิง,ผลิตเครื่องประดับจิวเวอรี่,189,,เลขที่ 98/15,83,นครปฐม,,11,บริษัท อินทรามณี จำกัด,13.73159039,,บริษัท อินทรามณี จำกัด ,73210,106,2561,สามพราน,100.3000567,8500000
กระทุ่มล้ม,ผลิตและจำหน่ายเครื่องประดับสำเร็จรูป จิวเวอรี่และเจียระไนอัญมณีทุกชนิด,40,,เลขที่ 14/14,10,นครปฐม,,6,บริษัท เพอร์ดานี่ จำกัด,,,บริษัท เพอร์ดานี่ จำกัด,73220,30,2562,สามพราน,,15240000
ไร่ขิง,การทำเครื่องประดับโดยใช้ เพชร พลอย ไข่มุก ทองคำ ทองขาว เงิน นาค หรืออัญมณี การตัดเจียระไนหรือขัด เพชร พลอย อัญมณี การเผา หรืออบ พลอย หรืออัญมณี เช่น เครื่องประดับ ชิ้นส่วน เป็นต้น,280,เพชรเกษม,เลขที่ 45,155,นครปฐม,,5,บริษัท จ.เจริญไพศาลอินดัสตรี้ จำกัด,13.71906667,,บริษัท จ.เจริญไพศาลอินดัสตรี้ จำกัด,73210,125,2563,สามพราน,100.26415,10000000
สามพราน,ทำเครื่องประดับจากเงินและพลอย,236,เพชรเกษม,เลขที่ 23/14,85,นครปฐม,,8,บริษัท เมนลี่ ซิลเวอร์ ดีไซน์ จำกัด,13.74176,,บริษัท เมนลี่ ซิลเวอร์ ดีไซน์ จำกัด,73110,151,2564,สามพราน,100.2155,172560000
บางภาษี,"ทำเครื่องประดับโดยใช้ ทองคำ, ทองคำขาว, เงิน, นาค หรืออัญมณี ที่มีค่า และการตัด,เจียระไน หรือขัดเพชรพลอย",20,ทางหลวง 346,เลขที่ -,13,นครปฐม,,12,บริษัท ลายกนกโกลด์ รีไฟเนอรี จำกัด,,,บริษัท ลายกนกโกลด์ รีไฟเนอรี จำกัด,73130,7,2565,บางเลน,,85000000
ไร่ขิง,ผลิตเครื่องประดับจากเพชร พลอย ทอง เงิน นาก และอัญมณีชนิดอื่นๆ รวมทั้งสิ่งทำเทียมวัตถุหรือสินค้าดังกล่าว,87,พุทธมณฑลสาย 5,เลขที่ 53/1,22,นครปฐม,02-4821011-4,12,บริษัท เช็นนสตาร์ จิวเวล จำกัด,13.75603333,,บริษัท ชอง ชอง (ไทยแลนด์) จำกัด,73210,65,2566,สามพราน,100.3031,38000000
ท่าตลาด,ทำเครื่องประดับสตรี เช่น ต่างหู เข็มกลัด หัวเข็มขัด,18,,เลขที่ 4/20,18,นครปฐม,,2,บริษัท เวิลด์ เพร์ล จำกัด,13.75303026,,บริษัท เวิลด์ เพร์ล จำกัด,73110,0,2567,สามพราน,100.1963807,50000000
ไร่ขิง,ผลิตชิ้นส่วน ส่วนประกอบ และอุปกรณ์เครื่องประดับ,14,พุทธมณฑลสาย 5,เลขที่ 98/22,10,นครปฐม,811-8245-7,11,บริษัท ยูนิ เอ็กเซล จำกัด,,แฟคตอรี่แลนด์ 2 ซอย 2,บริษัท ยูน เอ็กเซล จำกัด,73210,4,2568,สามพราน,,0
คลองใหม่,ทำเหรียญตรา และเหรียญพระที่ระลึก,10,เพชรเกษม,เลขที่ 117/100-101,5,นครปฐม,,2,นายบุญ สุรจารุสาร,,,,73110,5,2569,สามพราน,,1000005
ศาลายา,การทำเหรียญพระเครื่อง,6,,เลขที่ 13/2,6,นครปฐม,,3,นายสมชาย รักษาศักดิ์,13.81438333,,,73170,0,2570,พุทธมณฑล,100.30905,7000000
มหาสวัสดิ์,ทำเหรียญพระเครื่อง,4,,เลขที่ 55/5,2,นครปฐม,,1,นายถวัลย์ ศรีอินทร์คำ,13.80321,,นายถวัลย์ ศรีอินทร์คำ,73170,2,2571,พุทธมณฑล,100.28327,7000000
หอมเกร็ด,ทำเหรียญพระเครื่อง,3,,เลขที่ 29/3,3,นครปฐม,,2,นายศุภกิจ พรมิ่งมาศ,13.76175,,พุทธนิมิต,73110,0,2572,สามพราน,100.23119,2500000
หอมเกร็ด,ทำเหรียญพระ หล่อพระโดยการเหวี่ยง,4,-,เลขที่ 64/8,2,นครปฐม,,2,นางสาวประไพ ผดุงการ,13.75733,-,ปัญญานิมิต,73110,2,2573,สามพราน,100.23115,2000000
คลองจินดา,ผลิตเครื่องดนตรี และผลิตชิ้นส่วนเครื่องดนตรี เช่น กลอง ,158,.,เลขที่ 91,62,นครปฐม,034-981-391,2,บริษัท ชัยพัฒนาอุตสาหกรรม (1999)จำกัด,13.69376667,,บริษัท ชัยพัฒนาอุตสาหกรรม (1999)จำกัด,73110,96,2574,สามพราน,100.1397333,65000000
กระทุ่มล้ม,ผลิตเครื่องดนตรีและชิ้นส่วนหรืออุปกรณ์ของเครื่องดนตรี,25,พุทธมณฑลสาย 4,เลขที่ 91,12,นครปฐม,,2,บริษัท พีเคมิวสิค จำกัด,13.73915,-,บริษัท พีเคมิวสิค จำกัด,73220,13,2575,สามพราน,100.3198667,14000000
บ้านใหม่,ผลิตอุปกรณ์กีฬา การบริหารร่างกาย,18,เพชรเกษม,เลขที่ 88/88,18,นครปฐม,,2,บริษัท เสถียรอุตสาหกรรม จำกัด,13.74856637,,บริษัท เสถียรอุตสาหกรรม จำกัด,73110,0,2576,สามพราน,100.2762084,22550000
ไร่ขิง,ทำอุปกรณ์ชิ้นส่วนเครื่องออกกำลังกาย ชุดสนามเด็กเล่น,101,พุทธมณฑลสาย 5,เลขที่ 72/5,94,นครปฐม,02-4310341-4,10,บริษัท โอเชี่ยนพลาสติกอินเตอร์เทรด จำกัด,13.72908333,วัดท่าพูด,บริษัท โอเชี่ยนพลาสติกอินเตอร์เทรด จำกัด,73210,7,2577,สามพราน,100.2929833,40000000
ท่าตลาด,ทำของเล่นจากพลาสติก เช่น ลูกบอลพลาสติก และอุปกรณ์ประกอบเล่นกีฬา,350,พุทธมณฑลสาย 7,เลขที่ 3/6,135,นครปฐม,,9,บริษัท บอลส์ อาร์ อัส จำกัด,13.75973333,,บริษัท บอลส์ อาร์ อัส จำกัด,73110,215,2578,สามพราน,100.2309,160000000
ไร่ขิง,ผลิตตุ๊กตา และ ของเด็กเล่น,10,,เลขที่ 88/1,2,นครปฐม,0 2420 7607,7,บริษัท เอ บี ซี ทอยส์ อินดัสตรี จำกัด,13.72085,,บริษัท เอ บี ซี ทอยส์ อินดัสตรี จำกัด,73210,8,2579,สามพราน,100.298,8470000
ไร่ขิง,ผลิตและส่งออกเครื่องเขียน,124,พุทธมณฑลสาย 5,เลขที่ 99/1,34,นครปฐม,,12,บริษัท ซันเรน กรุ๊ป อินเตอร์เนชั่นแนล จำกัด,13.75568333,ประชาราษฎร์,บริษัท ซันเรน กรุ๊ป อินเตอร์เนชั่นแนล จำกัด,73210,90,2580,สามพราน,100.2948167,12090000
ไร่ขิง,ผลิตและประกอบเครื่องเขียน สื่อกรเรียนการสอน วัสดุสำนักงาน,122,พุทธมณฑลสาย 6,เลขที่ ,67,นครปฐม,02-429-7011,5,บริษัท แพลนโก จำกัด,13.73678333,วัดไร่ขิง 18,บริษัท แพลนโก จำกัด,73210,55,2581,สามพราน,100.26645,73000000
ขุนแก้ว,ผลิตปากกาลูกลื่น,15,ปิ่นเกล้า-นครชัยศรี,เลขที่ 59/2,10,นครปฐม,,1,บริษัท โกลด์ เพ็นส์ (ประเทศไทย) จำกัด,13.81866426,,บริษัท โกลด์ เพ็นส์ (ประเทศไทย) จำกัด,73120,5,2582,นครชัยศรี,100.1947484,67759067
ไร่ขิง,"ผลิตซิปทุกชนิด, กรอด้าย",78,,เลขที่ 108,45,นครปฐม,,11,บริษัท เสริมชัยซิปเปอร์ จำกัด,13.74818333,,บริษัท เสริมชัยซิปเปอร์ จำกัด,73210,33,2583,สามพราน,100.294,30000000
ดอนตูม,ทำร่ม ชิ้นส่วนของร่ม การทำผลิตภัณฑ์ด้วยวิธีปั๊มหรือกระแทก,33,,เลขที่ 170,23,นครปฐม,,4,ห้างหุ้นส่วนจำกัดอาชวินท์ ค้าเหล็ก,13.96983268,,ห้างหุ้นส่วนจำกัดอาชวินท์ ค้าเหล็ก,73130,10,2584,บางเลน,100.1036123,13000000
วังเย็น,ผลิตร่ม และทำสบู่,85,,เลขที่ -,35,นครปฐม,,5,บริษัท สยาม บรอลลี จำกัด,,,บริษัท สยาม บรอลลี จำกัด,73000,50,2585,เมืองนครปฐม,,27500000
กระทุ่มล้ม,ทำชั้นโชว์สินค้า และป้ายโฆษณาต่าง ๆ ผลิตเครื่องเรือน เครื่องใช้และเฟอร์นิเจอร์ที่ทำจากโลหะเป็นส่วนใหญ่,121,พุทธมณฑลสาย 4,เลขที่ 60/157,40,นครปฐม,,8,บริษัท วาย.ซี.โปรดักส์ จำกัด,13.74516667,,บริษัท วาย.ซี.โปรดักส์ จำกัด,73220,81,2586,สามพราน,100.33465,11000000
ไร่ขิง,ผลิตเครื่องหมายข้าราชการ ทหาร ตำรวจ พลเรือน และ องค์กรทั่วไป,32,พุทธมณฑลสาย 5,เลขที่ 98/49,11,นครปฐม,0-2800-7708-9,11,บริษัท สุภาพรรณ จำกัด,13.73156667,-,บริษัท สุภาพรรณ จำกัด,73210,21,2587,สามพราน,100.30245,2000000
ท่าพระยา,ผลิตป้ายโฆษณาสินค้า,10,,เลขที่ 50/2,10,นครปฐม,,5,บริษัท เอส.ที.อาร์.เทร็ง (ประเทศไทย) จำกัด,,,บริษัท เอส.ที.อาร์.สเทร็ง (ประเทศไทย) จำกัด,73120,0,2588,นครชัยศรี,,1740000
ไร่ขิง,ผลิตสติกเกอร์ติดเสื้อผ้า,65,ไร่ขิง 30,เลขที่ 19/14-15,40,นครปฐม,,9,บริษัท ยูนิค เทคนิเคิล จำกัด,13.73813333,บุญปลอด,บริษัท ยูนิค เทคนิเคิล จำกัด,73210,25,2589,สามพราน,100.28135,30000000
ไร่ขิง,ผลิต ประกอบ ทำเครื่องเรือน เครื่องใช้จากไม้ ชั้นวางแสดงสินค้า เฟอร์นิเจอร์ บูธจัดเเสดงสินค้า และอุปกรณ์จัดแสดงสินค้าต่าง ๆ ,110,,เลขที่ โฉนดที่ดินเลขที่ 85341,80,นครปฐม,,14,บริษัท คอนเซ็ป คอนโทรล จำกัด,,,บริษัท คอนเซ็ป คอนโทรล จำกัด,73210,30,2590,สามพราน,,112000000
ไร่ขิง,การทำป้าย ตรา เครื่องหมาย และแม่พิมพ์ ,8,เพชรเกษม,เลขที่ 88/5,6,นครปฐม,,7,บริษัท ฉางหงส์ พลาสติก จำกัด,13.74169831,เพชรเกษม 130,บริษัท ฉางหงส์ พลาสติก จำกัด,73210,2,2591,สามพราน,100.2840071,12000000
อ้อมใหญ่,"ทำป้าย ตรา เครื่องหมาย ป้ายติดของหรือเครื่องโฆษณาสินค้า เช่น การทำสติ๊กเกอร์,ทำซิลค์สกรีน",31,,เลขที่ 30,18,นครปฐม,02-805 8082-3,1,บริษัท เจนนิซิส กราฟฟิค จำกัด,13.69441667,,บริษัท เจนนิซิส กราฟฟิค จำกัด,73160,13,2592,สามพราน,100.26325,6000000
หนองกระทุ่ม,ผลิตพลังงานไฟฟ้า,0,,เลขที่ 29/1,0,นครปฐม,089-9183942,8,นายธนกฤต หวังพงษ์,,,นายธนกฤต หวังพงษ์,73140,0,2593,กำแพงแสน,,890000
บางเลน,ผลิตก๊าซชีวภาพจากมูลไก่,10,,เลขที่ -,9,นครปฐม,,8,บริษัท เคซีเอฟ พลังงานสีเขียว จำกัด,13.96805113,,บริษัท เคซีเอฟ พลังงานสีเขียว จำกัด,73130,1,2594,บางเลน,100.1476981,30000000
บางเลน,ผลิตก๊าซชีวภาพจากน้ำส่าเหล้า,10,,เลขที่ 448,9,นครปฐม,034301531-5,8,บริษัท เคซีเอฟ พลังงานสีเขียว จำกัด (ESCO-2),13.9681136,,บริษัท เคซีเอฟ พลังงานสีเขียว จำกัด (ESCO-2),73130,1,2595,บางเลน,100.1477196,30000000
บางเลน,ผลิตก๊าซชีวภาพจากเศษหญ้าพืชพลังงาน,10,,เลขที่ ,9,นครปฐม,034301531-5,8,บริษัท เคซีเอฟ พลังงานสีเขียว จำกัด (ESCo-3),13.9681136,,บริษัท เคซีเอฟ พลังงานสีเขียว จำกัด (ESCO-3),73130,1,2596,บางเลน,100.1477196,30000000
สระสี่มุม,โรงงานผลิตก๊าซ ซึ่งไม่ใช้ก๊าซธรรมชาติหรือส่งจำหน่ายก๊าซ,11,,เลขที่ ,11,นครปฐม,,10,บริษัท ทุ่งบัว ยูทิลิตี้ จำกัด,14.06607824,,บริษัท ทุ่งบัว ยูทิลิตี้ จำกัด,73000,0,2597,กำแพงแสน,99.97453179,31000000
บางภาษี,ผลิตก๊าซอะซิทีลีน,18,,เลขที่ 219,9,นครปฐม,,13,บริษัท จิรัฐอินดัสเทรียล จำกัด,13.99501561,,บริษัท จิรัฐอินดัสเทรียล จำกัด,73130,9,2598,บางเลน,100.2376353,65000000
บางเลน,ผลิตก๊าซชีวภาพจากเศษหญ้าพืชพลังงาน,10,,เลขที่ ,9,นครปฐม,,8,บริษัท เคซีเอฟ พลังงานสีเขียว จำกัด,13.96805113,,บริษัท เคซีเอฟ พลังงานสีเขียว จำกัด,73130,1,2599,บางเลน,100.1477518,15500000
บางเลน,ผลิตก๊าซชีวภาพจากเศษหญ้าพืชพลังงาน,10,,เลขที่ ,9,นครปฐม,,8,บริษัท เคซีเอฟ พลังงานสีเขียว จำกัด,13.96805113,,บริษัท เคซีเอฟ พลังงานสีเขียว จำกัด,73130,1,2600,บางเลน,100.1477518,15500000
สระสี่มุม,โรงผลิตก๊าซ ซึ่งมิใช่ก๊าซธรรมชาติ ส่งหรือจำหน่ายก๊าซ,3,,เลขที่ ,2,นครปฐม,,10,บริษัท สี่มุม พาวเวอร์ จำกัด,14.05726328,,บริษัท สี่มุม พาวเวอร์ จำกัด,73000,1,2601,กำแพงแสน,99.97550691,23500000
บางเลน,ผลิตก๊าซชีวภาพจากน้ำเสียกระบวนการผลิตอาหาร,10,,เลขที่ -,9,นครปฐม,,8,บริษัท เคซีเอฟ พลังงานสีเขียว จำกัด (ESCO-1),13.9681136,,บริษัท เคซีเอฟ พลังงานสีเขียว จำกัด (ESCO-1),73130,1,2602,บางเลน,100.1477196,40000000
บางเลน,ผลิตก๊าซชีวภาพจากมูลไก่,10,,เลขที่ 448,9,นครปฐม,034301531-5,8,บริษัท เคซีเอฟ พลังงานสีเขียว จำกัด,13.9681136,,บริษัท เคซีเอฟ พลังงานสีเขียว จำกัด,73130,1,2603,บางเลน,100.1477196,40000000
บางไทรป่า,สีข้าวชนิดแยกแกลบแยกรำ (กำลังสีสูงสุดของร้านสีข้าว 20 เกวียน/วัน),4,บางเลน-บางหลวง,เลขที่ 102,4,นครปฐม,,2,นายสุรศักดิ์ หทัยศีลวัต,14.0332,,โรงสีสุรศักดิ์,73130,0,2604,บางเลน,100.17025,0
หินมูล,สีข้าว ชนิดแยกแกลบแยกรำ (กำลังสีสูงสุด 150 เกวียน/วัน) และอบข้าวเปลือกได้ 100 เกวียน/วัน,16,บางเลน-วัดไผ่โรงวัว,เลขที่ 15,10,นครปฐม,819299694,8,ห้างหุ้นส่วนจำกัด โรงสีไฟ ป.เฟื่องฟูธัญญกิจ,14.11926667,-,ห้างหุ้นส่วนจำกัด โรงสีไฟ ป.เฟื่องฟูธัญญกิจ,73190,6,2605,บางเลน,100.1310333,20000000
ทัพหลวง,สีข้าว (กำลังสีสูงสุดของร้านสีข้าว 60 เกวียน/วัน),13,มาลัยแมน,เลขที่ 58/1,13,นครปฐม,034-209410-3,9,บริษัท โรงสี ช.รุ่งเรือง (1995) จำกัด,13.90086667,,บริษัท โรงสี ช.รุ่งเรือง (1995) จำกัด,73000,0,2606,เมืองนครปฐม,99.98188333,25000000
ห้วยด้วน,สีข้าวชนิดแยกแกลบแยกรำ,4,,เลขที่ 36,4,นครปฐม,,6,นายชัยยศ อาศัยพานิชย์,13.89193333,,โรงสีจิ้งเฮงล้ง,73150,0,2607,ดอนตูม,100.0922167,6000000
บางกระทึก,ปรับปรุงคุณภาพข้าว (ขัดข้าว),40,ดอนหวาย-พุทธมษฑลสาย 5,เลขที่ 140,30,นครปฐม,,5,บริษัท ไทยฮา จำกัด (มหาชน),13.77175,,บริษัท ไทยฮา จำกัด (มหาชน),73210,10,2608,สามพราน,100.2880833,140000000
ถนนขาด,สีข้าวและอบข้าวเปลือก กำลังการผลิต 250 เกวียน/วัน,17,พระประโทน-บ้านแพ้ว,เลขที่ 156,14,นครปฐม,,1,นายสุรินทร์ กรีแสง,13.78268333,-,บริษัท สหชัย 2 จำกัด,73000,3,2609,เมืองนครปฐม,100.0929833,20000000
บางภาษี,ขัดข้าว,11,บางเลน-ลาดหลุมแก้ว,เลขที่ 99,7,นครปฐม,,4,บริษัท ที.เค.ไรซมิล แอนด์ แอ็ช จำกัด,14.01976667,รางกำหยาด,บริษัท ที.เค.ไรซมิล แอนด์ แอ็ช จำกัด,73130,4,2610,บางเลน,100.2220167,70500000
ศรีษะทอง,สีข้าว (กำลังสีสูงสุดของร้านสีข้าว 8 เกวียน/วัน),6,-,เลขที่ 53/2,6,นครปฐม,331410,4,นายเฉลิมเกียรติ เกิดดอนแฝก,13.81496667,-,โรงสีเจริญเกษตร,73120,0,2611,นครชัยศรี,100.1423333,2800000
ห้วยม่วง,สีข้าวชนิดแยกแกลบแยกรำ (กำลังสีสูงสุดของร้านสีข้าว 4 เกวียน/วัน),3,,เลขที่ 51,3,นครปฐม,087-1694377,11,นายยงค์ ทรัพย์มาก,14.1348,,,73140,0,2612,กำแพงแสน,100.0105667,0
บัวปากท่า,สีข้าวชนิดแยกแกลบแยกรำ (กำลังสีสูงสุดของร้านสีข้าว 50 เกวียน/วัน),9,-,เลขที่ 30,9,นครปฐม, ,8,นายประดิษฐ์ ชัยศิลป์เจริญ,14.16673333,-,โรงสีไทยแสงทอ,73130,0,2613,บางเลน,100.2503667,11000000
บัวปากท่า,สีข้าว,11,ลาดบัวหลวง-วัดไผ่โรงวัว,เลขที่ 57,11,นครปฐม,01-9418598,9,บริษัท หลักชัยธัญญวนิช จำกัด,14.16018333,-,บริษัท หลักชัยธัญญวนิช จำกัด,73130,0,2614,บางเลน,100.2610833,5000000
หนองปากโลง,สีข้าว,2,,เลขที่ 54,1,นครปฐม,,6,นางพยอม ศรีเตชานุพงศ์,13.82876667,,โรงสีมานิตรุ่งเรือง,73000,1,2615,เมืองนครปฐม,100.0299,500000
บัวปากท่า,สีข้าว อบข้าว,10,,เลขที่ 65,10,นครปฐม,,2,บริษัท โรงสีข้าว ธัญญาวัฒน์ จำกัด,14.1586,,บริษัท โรงสีข้าว ธัญญาวัฒน์ จำกัด,73130,0,2616,บางเลน,100.18755,50000000
ดอนตูม,สีข้าว,7,,เลขที่ 78,7,นครปฐม,,9,สหกรณ์การเกษตรเพื่อการตลาดลูกค้า ธ.ก.ส. นครปฐม จำกัด,13.83737514,,สหกรณ์การเกษตรเพื่อการตลาดลูกค้า ธ.ก.ส. นครปฐม จำกัด,73000,0,2617,บางเลน,100.1243832,45012251
ไร่ขิง,ปรับปรุงคุณภาพข้าว,32,พุทธมณพลสาย 5,เลขที่ 77/98,18,นครปฐม,028119670-3,12,บริษัท พีเคไรซ์ จำกัด,,,บริษัท พีเคไรซ์ จำกัด,10100,14,2618,สามพราน,,155000000
วังตะกู,สีข้าว กำลังสีสูงสุดของร้านสีข้าว 50 เกวียน/วัน,12,มาลัยแมน,เลขที่ 88,12,นครปฐม, ,8,ห้างหุ้นส่วนจำกัด โรงสีอุดมธัญญะ,13.86836667,-,บริษัท อุดมธัญญะ 2522 จำกัด,73000,0,2619,เมืองนครปฐม,100.0037,3000000
วังตะกู,สีข้าว ชนิดแยกแกลบแยกรำ กำลังสีสูงสุด 200 เกวียน/วัน,7,มาลัยแมน,เลขที่ 79/3,7,นครปฐม,,8,บริษัท โรงสีเกษตรธรรม จำกัด,13.8714,-,บริษัท โรงสีเกษตรธรรม จำกัด,73000,0,2620,เมืองนครปฐม,100.0012333,7000000
บางภาษี,สีข้าวเปลือก ขนาดกำลังการผลิต 120 เกวียน/วัน,8,-,เลขที่ 88/8,8,นครปฐม,899199599,13,บริษัท จีซี ไรซ์ โซลูชั่นส์ จำกัด,,-,บริษัท จีซี ไรซ์ โซลูชั่นส์ จำกัด,73130,0,2621,บางเลน,,45500000
ดอนข่อย,สีข้าว อบข้าวเปลือก,19,,เลขที่ 126,12,นครปฐม,,12,ห้างหุ้นส่วนจำกัด โรงสีวัฒนาวานิช,14.013,,ห้างหุ้นส่วนจำกัด โรงสีวัฒนาวานิช,73140,7,2622,กำแพงแสน,100.01372,3500000
บัวปากท่า,สีข้าว และอบข้าวเปลือก กำลังการผลิต 250เกวียน/วัน,20,,เลขที่ 154,12,นครปฐม,084-1217888,8,บริษัท หมุยหลีทวีทรัพย์ จำกัด,14.16672,,บริษัท หมุยหลีทวีทรัพย์ จำกัด,73130,8,2623,บางเลน,100.24726,65000000
ทุ่งลูกนก,สีข้าว (กำลังสีสูงสุดของร้านสีข้าว 120 เกวียน/วัน),5,,เลขที่ 49,3,นครปฐม,084-4332449,3,บริษัท สหธัญ จำกัด,14.03056008,,บริษัท สหธัญ จำกัด,73140,2,2624,กำแพงแสน,99.89201307,25000000
ทุ่งกระพังโหม,อบข้าวเปลือกได้ 40 เกวียน/วัน,13,มาลัยแมน,เลขที่ 89/1,13,นครปฐม,351479,4,บริษัท โรงสีดิลก อินเตอร์ไรซ์ จำกัด,13.97241667,,บริษัท โรงสีดิลก อินเตอร์ไรซ์ จำกัด,73140,0,2625,กำแพงแสน,99.99863333,15400000
บางภาษี,สีข้าวและอบข้าวเปลือก กำลังผลิต 400 เกวียน/วัน,10,บางเลน-ลาดหลุมแก้ว,เลขที่ 26,10,นครปฐม,,12,ห้างหุ้นส่วนจำกัด โรงสีนิวัตรพาณิชย์,14.02592712,เทศบาล3,ห้างหุ้นส่วนจำกัด โรงสีนิวัตรพาณิชย์,73130,0,2626,บางเลน,100.2351173,200000000
วังตะกู,สีข้าว กำลังสีสูงสุดของร้านสีข้าว 24 เกวียน/วัน,17,มาลัยแมน,เลขที่ 34/5,2,นครปฐม,034285-094,8,บริษัท โรงสีไทยพัฒนาสมบัติ จำกัด,13.86896667,,โรงสีทรัพย์สมบัติ,73000,15,2627,เมืองนครปฐม,100.0034,18000000
อ้อมใหญ่,การสี ฝัด หรือขัดข้าว และการบดเมล็ดพืชหรือหัวพืช,45,เพชรเกษม,เลขที่ 25/4,44,นครปฐม,028115015-9,2,บริษัท กรุงเทพสตาซอินดัสเทรี่ยล จำกัด,,เชื่อม,บริษัท กรุงเทพสตาซอินดัสเทรี่ยล จำกัด,73160,1,2628,สามพราน,,1128000000
นราภิรมย์,สีข้าว และการเก็บรักษา ลำเลียง ข้าวเปลือกในโกดัง,2,,"เลขที่ 37 , 108",2,นครปฐม,090-969-2465,5,นายวีระยุทธ  ศิริพงษ์เวคิน,,,นายวีระยุทธ  ศิริพงษ์เวคิน,73130,0,2629,บางเลน,,2000000
วังน้ำเขียว,สีข้าว กำลังสีสูงสุดของร้านสีข้าว 25 เกวียน/วัน,7,มาลัยแมน,เลขที่ 164,5,นครปฐม,,3,นายเจิดพงษ์ ตระกูลโชคอำนวย,13.96835,วังน้ำเขียว-กำแพงแสน,สิงห์โชคอำนวย 2,73140,2,2630,กำแพงแสน,100.0017667,9000000
บัวปากท่า,คัดคุณภาพข้าว,26,,เลขที่ 3,12,นครปฐม,089-2248558,,บริษัท โรงสี รุ่งเรืองไพศาล จำกัด,14.17446904,,บริษัท โรงสี รุ่งเรืองไพศาล จำกัด,73130,14,2631,บางเลน,100.2398831,15100000
คลองนกกระทุง,ขัดข้าวขาว,34,,เลขที่ 123,18,นครปฐม,,7,บริษัท ดี เค ไรซ์ มิลล์ จำกัด,13.9804,,บริษัท ดี เค ไรซ์ มิลล์ จำกัด,73130,16,2632,บางเลน,100.20092,68000000
ทัพหลวง,ทำแป้งและผลิตเส้นขนมจีน,25,,เลขที่ 68/39,10,นครปฐม,,10,บริษัท ขนมจีนทัพหลวง จำกัด,13.88950648,,บริษัท ขนมจีนทัพหลวง จำกัด,73000,15,2633,เมืองนครปฐม,100.011341,7270000
สระกะเทียม,การป่นหรือบด เมล็ดพืชหรือหัวพืช,5,เพชรเกษม,เลขที่ 29/3,5,นครปฐม,258008-12,10,บริษัท รวมชัย มัลติเทรด จำกัด,13.79884639,,บริษัท รวมชัย มัลติเทรด จำกัด,73000,0,2634,เมืองนครปฐม,99.97352869,26000000
สระกะเทียม,บดเมล็ดข้าวโพด,14,เพชรเกษม,เลขที่ 52/1,14,นครปฐม,034-254558,14,บริษัท เจริญวัฒนา (โง้วเทียนเซ้ง) จำกัด,13.7892,-,บริษัท กรสุวรรณ พลัส จำกัด,73000,0,2635,เมืองนครปฐม,99.95871667,39000000
ห้วยขวาง,ป่นหรือบดเมล็ดพริก,6,,"เลขที่ โฉนดที่ดินเลขที่ 66654 , 66756, 75140",6,นครปฐม,,5,บริษัท จันทรา มาร์เก็ตติ้ง จำกัด,,,บริษัท จันทรา มาร์เก็ตติ้ง จำกัด,73140,0,2636,กำแพงแสน,,23756198
ทัพหลวง,บดข้าวโพด และปรับปรุงคุณภาพข้าว,38,,เลขที่ 45/2,32,นครปฐม,034-261800-7,3,บริษัท นครปฐมรวมพัฒนาค้าข้าว จำกัด,13.88515,,บริษัท นครปฐมรวมพัฒนาค้าข้าว จำกัด,73000,6,2637,เมืองนครปฐม,99.98886667,39000000
หนองปากโลง,การผลิต การโม่ การบด เมล็ดข้าวโพดและมันสัมปะหลัง,10,-,เลขที่ 9,9,นครปฐม,034-285151,10,บริษัท ลัคกี้ฟาร์มอาหารสัตว์ จำกัด,13.85831667,-,บริษัท ลัคกี้ฟาร์มอาหารสัตว์ จำกัด,73000,1,2638,เมืองนครปฐม,99.99463333,3650000
หนองงูเหลือม,โม่เมล็ดข้าวโพด และพืชผลทางเกษตร,5,,เลขที่ 88,5,นครปฐม,,8,นายธงชัย อัครไชยกุล,,,บริษัท ร่วมใจ พืชผล จำกัด,73000,0,2639,เมืองนครปฐม,,13000000
สามควายเผือก,บดเมล็ดพืช และปรับปรุงคุณภาพข้าว,9,,เลขที่ 8/1,8,นครปฐม,,3,บริษัท จารุกิจฟีด จำกัด ,,,บริษัท จารุกิจฟีด จำกัด ,73000,1,2640,เมืองนครปฐม,,85000000
