ถนน,เลขที่,ซอย,ประเภท,เงินทุน,แรงม้า,_id,คนงาน,เลขทะเบียนโรงงาน,ลำดับ,ชื่อโรงงาน,ประกอบกิจการ,โทรศัพท์,ไปรษณีย์,ตำบล,อำเภอ,จังหวัด,หมู่
,เลขที่ 223,,105,"12,500,000",296,1600,10,จ3-105-22/50ชบ,1600,บริษัท อีสเทอร์น รีไซเคิล แอนด์ เอ็นไวรอนเม้นท์ จำกัด,"คัดแยกสิ่งปฏิกูลที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย , อัดเศษโลหะ , บด ย่อย หลอมพลาสติก อัดเศษกระดาษ และทำลังไม้พาเลท",081-7361029,20230,บ่อวิน,ศรีราชา,ชลบุรี,4
สาย 331,เลขที่ 256/18,โรงเรียนโป่งสะเก็ด,105,"2,800,000",125,1601,10,จ3-105-40/51ชบ,1601,ห้างหุ้นส่วนจำกัด เจริญทวี เวิลด์ดิ้ง รีไซเคิล,คัดแยกสิ่งปฏิกูลที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,20230,บ่อวิน,ศรีราชา,ชลบุรี,3
,เลขที่ 98,,105,"1,850,000",95,1602,8,จ3-105-52/50ชบ,1602,บริษัท ไจก้า เวส แมนเนจเม้นท์ จำกัด,"คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย , อัดเศษกระดาษ เศษโลหะ, บดย่อยพลาสติก และผลิตเม็ดพลาสติก",038-171200,20230,บ่อวิน,ศรีราชา,ชลบุรี,4
,เลขที่ 277/34,,105,"535,000",36,1603,10,จ3-105-92/51ชบ,1603,ดีเจริญค้าของเก่า,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,20230,บ่อวิน,ศรีราชา,ชลบุรี,3
สาย 331,เลขที่ 234/13,ทางเข้านิคมอีสเทรินซีบอร์ด,105,"40,000,000",276.87,1604,16,จ3-105-208/51ชบ,1604,บริษัท เค.พี.เอส.รีไซเคิ้ล จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย อัดเศษโลหะ บดย่อยพลาสติก และผลิตเม็ดพลาสติกเกรดบี,,20230,บ่อวิน,ศรีราชา,ชลบุรี,4
,เลขที่ 276/58,,105,"35,000,000",130,1605,12,จ3-105-227/50ชบ,1605,บริษัท คราฟท์ แอนด์ เปเปอร์มิลล์ จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นอันตราย อัดกระดาษ และอัดโลหะ,,20230,บ่อวิน,ศรีราชา,ชลบุรี,3
ทางหลวงหมายเลข 331,เลขที่ 88,,105,"134,266,000",147.5,1606,27,น.105-1/2545-ญหช.,1606,บริษัท อีสเทิร์น ซีบอร์ด เอนไวรอนเมนทอล คอมเพล็กซ์ จำกัด,"การเก็บรักษา ลำเลียง แยก คัดเลือก หรือแบ่งบรรจุเฉพาะของเสียเคมีวัตถุ, บำบัดน้ำเสียโดยวิธีชีวภาพ, คัดแยกฝังกลบขยะ, ล้างภาชนะปนเปื้อน, การขจัดสารปนเปื้อนในเครื่องจักร อุปกรณ์และภาชนะบรรจุ (Decontamination), ผลิตเชื้อเพลิงผสมและเชื้อเพลิงทดแทนจากวัสดุที่ไม่ใช้แล้ว, รีไซเคิลหลอดฟลูออเรสเซนต์, รีไซเคิลกระป๋องและขวดสเปรย์ที่ไม่ใช้แล้ว การถอดและบดย่อยชิ้นส่วนอิเล็กทรอนิกส์ที่ไม่ใช้แล้ว (E-Waste Dismantling), การทำวัตถุดิบทดแทนสำหรับโรงงานผลิตปูนซีเมนต์จากวัสดุที่ไม่ใช้แล้ว, ผลิตเชื้อเพลิงแข็งจากขยะ (Solid Recovered Fuel) และสถานีขนถ่ายของเสียและวัสดุรีไซเคิล",,20230,บ่อวิน,ศรีราชา,ชลบุรี,8
,เลขที่,,105,,0,1607,,น.105-1/2560-ญหช.,1607,บริษัท อีสเทิร์น ซีบอร์ด เอนไวรอนเมนทอล คอมเพล็กซ์ จำกัด,หลุมฝังกลบของเสียไม่อันตราย,,20230,บ่อวิน,ศรีราชา,ชลบุรี,
สาย 332,เลขที่ โฉนดที่ดินเลขที่ 60144,,105,"49,000,000",71,1608,4,3-105-13/61ชบ,1608,บริษัท ไทยออยล์ ทูล แมชีนเนอรี่ เซอร์วิสเซส จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,038181751-4,20180,พลูตาหลวง,สัตหีบ,ชลบุรี,5
เขาหาดยาว-คลองไผ่,เลขที่ 117/41,,105,"7,500,000",65,1609,11,จ3-105-83/50ชบ,1609,บริษัท เอ็ม เอส โอ แอนด์ พี (ไทยแลนด์) จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,038-430016,20180,พลูตาหลวง,สัตหีบ,ชลบุรี,3
,เลขที่ 117/77,,105,"7,500,000",26.5,1610,5,จ3-105-144/51ชบ,1610,บริษัท เมทั่ล รีไซเคิ้ล จำกัด,"คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,อัดเศษโลหะ,อัดเศษกระดาษและบดเศษพลาสติก",,20180,พลูตาหลวง,สัตหีบ,ชลบุรี,4
-,เลขที่ 77/10,-,105,"1,050,000",89,1611,10,3-105-80/47ชบ,1611,ห้างหุ้นส่วนจำกัด บางเสร่ รวมเศษ,คัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดไว้ในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) บดย่อยพลาสติกและอัดกระดาษ,-,20250,บางเสร่,สัตหีบ,ชลบุรี,1
เกษตร-เขาช่องแคบ,เลขที่ 99,-,105,"85,000,000","1,220.00",1612,45,3-105-3/48ชบ,1612,บริษัท เอเซีย เวสต์ แมนเน็จเม้นท์ จำกัด,คัดแยกและฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) และบดย่อยพลาสติก,01-6286361,20270,วัดสุวรรณ,บ่อทอง,ชลบุรี,5
บ่อทอง-สนามชัยเขต,เลขที่ 8,-,105,"50,000,000",337,1613,35,3-105-93/48ชบ,1613,บริษัท ซีท๊อป กรีน กรุ๊ป จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้ว เฉพาะที่กำหนดในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลและวัสดุที่ไม่ใช้แล้ว ท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่1 (พ.ศ.2541) และกลั่นตัวทำลาย ซ่อมล้างถัง ผสมวัสดุและเคมีภัณฑ์ที่ใช้งานแล้ว เพื่อเป็นวัตถุดิบผลิตภัณฑ์ และเชื้อเพลิงทดแทน,,20270,วัดสุวรรณ,บ่อทอง,ชลบุรี,5
,เลขที่ 18,,105,"780,000",9,1614,8,จ3-105-69/51ชบ,1614,ศ.เพิ่มพูล,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,20270,บ่อกวางทอง,บ่อทอง,ชลบุรี,3
,เลขที่ 155/1,,105,"5,000,000",18,1615,10,จ3-105-143/50ชบ,1615,บริษัท ทรัพย์เจริญ สิ่งแวดล้อม จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,20270,บ่อกวางทอง,บ่อทอง,ชลบุรี,2
,เลขที่ โฉนดที่ดินเลขที่ 6766,,105,"2,000,000",67.6,1616,8,3-105-45/58ชบ,1616,วงษ์พาณิชย์ สาขาตำบลดอนหัวฬ่อ,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,20240,ท่าบุญมี,เกาะจันทร์,ชลบุรี,7
ทางหลวงสาย 36,เลขที่ 81/169,-,105,"3,060,000",83,1617,13,3-105-33/48รย,1617,บริษัท ระยองณัฐกร 1999 จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วตามประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) หมวด 1 ข้อ 1 และอัดเศษโลหะ เศษกระดาษ,,21000,เชิงเนิน,เมืองระยอง,ระยอง,3
,เลขที่ 29/2,,105,"11,000,000",23,1618,15,3-105-16/61รย,1618,บริษัท สยามโพลิเมอร์ แมนเนจเมนต์ จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,21000,นาตาขวัญ,เมืองระยอง,ระยอง,1
,เลขที่,,105,"1,000,000",26,1619,5,จ3-105-120/51รย,1619,วงษ์พาณิชย์ สาขาระยอง,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,21000,นาตาขวัญ,เมืองระยอง,ระยอง,4
โขดหิน-เขาไผ่,เลขที่ 5/4,-,105,"2,700,000",280,1620,9,3-105-35/47รย,1620,บริษัท วิน โพร เสส จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้ว ซ่อมและล้างถังด้วยตัวทำละลายและนำตัวทำละลายที่ใช้แล้วผสมกับน้ำมันที่ใช้แล้ว เพื่อใช้เป็นเชื้อเพลิงทดแทน,,21000,เนินพระ,เมืองระยอง,ระยอง,5
วัดโขดหิน-เขาไผ่,เลขที่ โฉนดที่ดินเลขที 90267,,105,"20,000,000",195,1621,25,3-105-44/61รย,1621,บริษัท ไฮเทค พลาส จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,0 3869 4371,21000,ทับมา,เมืองระยอง,ระยอง,
วัดโขดหิน-เขาไผ่,เลขที่ 35/9,,105,"20,000,000",245,1622,25,3-105-45/61รย,1622,บริษัท ไฮเทค พลาส จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,0 3869 4371,21000,ทับมา,เมืองระยอง,ระยอง,
-,เลขที่ 119/10,-,105,"11,000,000",97,1623,30,3-105-53/48รย,1623,บริษัท ศักดิ์ทวี รีไซเคิล จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้ว ตามประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) ตามบัญชีสิ่งปฏิกูลฯ ท้ายกฎกระทรวงฯ หมวด 1 ข้อ 1,038-694348,21000,ทับมา,เมืองระยอง,ระยอง,7
-,เลขที่,-,105,"37,517,075",150,1624,9,3-105-112/47รย,1624,บริษัท บีแอลซีพี เพาเวอร์ จำกัด,ฝังกลบ เถ้าถ่านหิน,038-687088,21000,ทับมา,เมืองระยอง,ระยอง,7
-,เลขที่ 61/2,-,105,"9,400,000",140,1625,16,3-105-113/47รย,1625,ห้างหุ้นส่วนจำกัด ผ่องกมลทิพย์พลาสติก,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วตามประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 หมวด 1 ข้อ 1 บดย่อยพลาสติก และทำเม็ดพลาสติก เกรด บี,038-663139,21000,ทับมา,เมืองระยอง,ระยอง,8
ทับมา-เขาโบสถ์,เลขที่ 134/1,,105,"600,000",24,1626,7,3-105-125/47รย,1626,ห้างหุ้นส่วนจำกัด ฟ้าอรุณ รีไซเคิล,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,038 615504,21000,ทับมา,เมืองระยอง,ระยอง,7
ชากกลาง-มิตรประชา,เลขที่ 93/2,,105,"11,500,000",26,1627,9,3-105-3/59รย,1627,บริษัท นภัทรรุ่งเรือง จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,0 3868 9016,21000,ห้วยโป่ง,เมืองระยอง,ระยอง,
ราษฎร์บำรุง,เลขที่ 63/3,-,105,"3,200,000",514,1628,13,3-105-8/57รย,1628,บริษัท เพียรทำดี รีไซเคิล จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,0890723549,21000,ห้วยโป่ง,เมืองระยอง,ระยอง,
ชากกลาง-มิตรประชา,เลขที่ 29/4,,105,"6,600,000",161,1629,7,3-105-10/58รย,1629,บริษัท พี.ที.ซัพพลาย แอนด์ โลจิสติกส์ จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,21000,ห้วยโป่ง,เมืองระยอง,ระยอง,
ห้วยโป่ง-หนองบอน,เลขที่ 142/59,,105,"14,000,000",89,1630,10,3-105-12/61รย,1630,บริษัท 3P รีไซเคิล จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,21000,ห้วยโป่ง,เมืองระยอง,ระยอง,
,เลขที่ โฉนดที่ดินเลขที่ 159933,,105,"12,600,000",48,1631,10,3-105-17/57รย,1631,บริษัท พีทีอาร์ 111 จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,21000,ห้วยโป่ง,เมืองระยอง,ระยอง,
ราษฎร์บำรุง,เลขที่ 54/9,,105,"6,600,000",36,1632,12,3-105-30/58รย,1632,บริษัท ระยองอินทาเนีย จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,038-034671-3,21000,ห้วยโป่ง,เมืองระยอง,ระยอง,1
ชากกลาง-มิตรประชา,เลขที่ 26/31,,105,"1,024,000",35,1633,7,3-105-41/58รย,1633,บริษัท ชุมชนมาบชลูด รีไซเคิล จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,21000,ห้วยโป่ง,เมืองระยอง,ระยอง,
ราษฎร์บำรุง,เลขที่,ราษฎร์บำรุง 1,105,"7,250,000",114,1634,10,3-105-96/48รย,1634,บริษัท สุธี แท็งเกอร์ แอนด์ สเปเชียลทรัค จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้ว เฉพาะ ภาคผนวก 1 ข้อ 1 ตามบัญชีท้ายประกาศกระทรวงอุตสาหกรรมฉบับที่ 1(พ.ศ.2541) บดย่อยพลาสติก และรีไซเคิลน้ำมันหล่อลื่นใช้แล้ว,,21000,ห้วยโป่ง,เมืองระยอง,ระยอง,
ทางหลวงระยองสาย3191,เลขที่ 24/9,,105,"76,740,000",409.64,1635,33,3-105-1/46รย,1635,ห้างหุ้นส่วนจำกัด มาบตาพุด ไทยเพรส,คัดแยกโม่บดอัดย่อยกระดาษพลาสติกเหล็กวัสดุฯซ่อมแซมแป,682479-80,21150,มาบตาพุด,เมืองระยอง,ระยอง,
สุขุมวิท,เลขที่ 261/2,,105,"2,220,000",40,1636,10,3-105-23/60รย,1636,บริษัท ธนรัต อินเตอร์เนชั่นแนล ไพลอท จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,038-609137,21150,มาบตาพุด,เมืองระยอง,ระยอง,
เสริมสุวรรณ,เลขที่ 39/16,-,105,"9,000,000",30,1637,10,จ3-105-108/52รย,1637,บริษัท นิคส์ อินโนเวชั่น จำกัด,คัดแยกวัสดุหรือสิ่งปฏิกูลที่ไม่ใช้แล้วที่ไม่อันตรายจากโรงงานอุตสาหกรรม,,21150,มาบตาพุด,เมืองระยอง,ระยอง,0
ไอ-5,เลขที่ 8,,105,,0,1638,,น.105-2/2545-ญนพ.,1638,บริษัท บริหารและพัฒนาเพื่อการอนุรักษ์สิ่งแวดล้อม จำกัด (มหาชน),"ฝังกลบกากของเสียอุตสาหกรรมเนื้อที่ทั้งสิ้น71,350ตารางเมตร(เฉพาะในส่วนหลุมมฝังกลบของเสียอุตสาหกรรมCELL1Aและ1Bเนื้อที่รวม16,000ตารางเมตรหมายเหตุที่ดินแปลงS-8ถึงS-10ได้ทำการปิดหลุมฝังกลบแล้ว",038-687005-6,21150,มาบตาพุด,เมืองระยอง,ระยอง,
-,เลขที่ 7/5,-,105,"3,001,000",39,1639,12,3-105-12/58รย,1639,ห้างหุ้นส่วนจำกัด สมบัติค้าของเก่า,คัดแยกสิ่งปฎิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,21130,สำนักท้อน,บ้านฉาง,ระยอง,1
,เลขที่ 102/9,,105,"3,060,000",59,1640,10,3-105-15/57รย,1640,ห้างหุ้นส่วนจำกัด ปัณชญาสตีล,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,21130,สำนักท้อน,บ้านฉาง,ระยอง,5
-,เลขที่ 66/20,-,105,"5,450,000",80,1641,11,3-105-42/56รย,1641,บริษัท สามเค รีไซเคิล จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,086-1507928,21130,สำนักท้อน,บ้านฉาง,ระยอง,6
-,เลขที่ 66/21,-,105,"3,700,000",80,1642,7,3-105-43/56รย,1642,บริษัท เวิล์ดสเครพส์ รีไซเคิล จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,081-341853,21130,สำนักท้อน,บ้านฉาง,ระยอง,6
-,เลขที่ 69/9,-,105,"3,500,000",80,1643,12,3-105-44/58รย,1643,บริษัท กนกรัตน์ รีไซเคิล จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,21130,สำนักท้อน,บ้านฉาง,ระยอง,6
,เลขที่ น.ส.3ก.เลขที่ 66,,105,"13,000,000",80,1644,18,3-105-59/59รย,1644,บริษัท 3P รีไซเคิล จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,21130,สำนักท้อน,บ้านฉาง,ระยอง,5
-,เลขที่,-,105,"1,700,000",48,1645,11,3-105-104/48รย,1645,ห้างหุ้นส่วนจำกัด ส.ประเสริฐ ค้าไม้,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดไว้ในหมวด1 ข้อ 1 ของภาคผนวกที่1 บัญชีส่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) ประกอบลังไม้พาเลท บดย่อยพลาสติก,,21130,สำนักท้อน,บ้านฉาง,ระยอง,4
,เลขที่ -,,105,"2,062,000",25,1646,7,จ3-105-41/51รย,1646,ห้างหุ้นส่วนจำกัด ส.โชคชัย รวมเศษ,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,081-7811317,21130,สำนักท้อน,บ้านฉาง,ระยอง,5
,เลขที่ 80/21,5,105,"8,000,000",320,1647,9,3-105-87/59รย,1647,วีณา รีไซเคิล,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,081-6648935,21130,พลา,บ้านฉาง,ระยอง,2
-,เลขที่ 83/1,-,105,"1,550,000",49,1648,13,3-105-89/48รย,1648,บริษัท เนินกระปรอกดีเวลลอปเมนท์ จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้ว เฉพาะที่กำหนดไว้ในหมวด 1 ข้อ1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วท้ายประกาศกระทรวงอุตสาหกรรมฉบับที่ 1 (พ.ศ.2541) และยดย่อยเศษพลาสติก,,21130,บ้านฉาง,บ้านฉาง,ระยอง,1
,เลขที่ โฉนดที่ดินเลขที่ 13865 และ 18226,,105,"6,000,000",345,1649,8,3-105-90/59รย,1649,บริษัท เอส บี เอส แอนด์ รีไซเคิล จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,095-4162829,21130,บ้านฉาง,บ้านฉาง,ระยอง,
สุขุมวิท,เลขที่ 16/7,,105,"10,000,000",165.5,1650,25,จ3-105-86/50รย,1650,วงษ์พาณิชย์ สาขาวังหว้า,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,21110,วังหว้า,แกลง,ระยอง,3
,เลขที่ โฉนดที่ดินเลขที่ 9102,,105,"10,500,000",15,1651,4,3-105-96/59รย,1651,บริษัท ศุทราแลนด์ จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,22160,กองดิน,แกลง,ระยอง,7
กองดิน-เขาวง,เลขที่ 44/5,-,105,"300,000",26,1652,8,จ3-105-121/50รย,1652,ห้างหุ้นส่วนจำกัด หนึ่ง ทวีพืชผล,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,086-3276785,22160,กองดิน,แกลง,ระยอง,1
,เลขที่ 55,,105,"2,050,000",20,1653,5,3-105-79/60รย,1653,บริษัท ก่อกิจ 99 จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,21110,ห้วยยาง,แกลง,ระยอง,9
,เลขที่ 222,,105,"22,000,000",90,1654,23,จ3-105-16/53รย,1654,วงษ์พาณิชย์ สาขาวังจันทร์,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,21210,พลงตาเอี่ยม,วังจันทร์,ระยอง,2
,เลขที่ 188,,105,"5,100,000",80,1655,10,จ3-105-241/51รย,1655,บริษัท จี.เอส.พี อินดัสเตรียล จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,21120,บ้านค่าย,บ้านค่าย,ระยอง,1
-,เลขที่ 9/9-10,-,105,"30,500,000",164,1656,13,3-105-54/48รย,1656,บริษัท วีเอสแอนด์บี รีไซเคิลเน็ทเวิร์ค จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย และอัดเศษโลหะ,0 3864 2532-4,21120,หนองละลอก,บ้านค่าย,ระยอง,6
,เลขที่,,105,"15,000,000",55,1657,19,3-105-173/48รย,1657,บริษัท ระยองพัฒนาอุตสาหกรรม จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้ว เฉพาะที่กำหนดไว้ในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) อัดเศษเหล็ก บดย่อยพลาสติก ซ่อมและล้างถังที่ใช้แล้วด้วยตัวทำละลาย,,21120,หนองละลอก,บ้านค่าย,ระยอง,8
,เลขที่ -,,105,"3,900,000",90,1658,11,จ3-105-81/51รย,1658,นายรัฐกิตติ์ พิเศษศราพงศ์,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,21120,หนองละลอก,บ้านค่าย,ระยอง,9
ทางหลวงหมายเลข 3138,เลขที่ 22/13,-,105,"1,800,000",47,1659,10,จ3-105-56/50รย,1659,บริษัท ไฮเทค พลาส จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย บดย่อยพลาสติก,,21120,หนองตะพาน,บ้านค่าย,ระยอง,1
,เลขที่ 15/6,,105,"2,350,000",297,1660,8,จ3-105-57/50รย,1660,บริษัท เลิศภักดี รีไซเคิล จำกัด,คัดแยกของเสียหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย ทำเม็ดพลาสติกเกรดบี และ ล้าง บด ย่อยพลาสติก,,21120,หนองตะพาน,บ้านค่าย,ระยอง,2
ระยองบ้านค่าย,เลขที่ 67/3,,105,"537,000",21,1661,4,จ3-105-69/52รย,1661,ทรัพย์สมบูรณ์รีไซเคิล,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นอันตราย,,21120,หนองตะพาน,บ้านค่าย,ระยอง,2
,เลขที่ 55/3,,105,"51,500,000",80,1662,13,3-105-16/59รย,1662,บริษัท ระยอง ณัฐกร 1999 จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,21120,ตาขัน,บ้านค่าย,ระยอง,6
บ้านหนองตะแบก,เลขที่,-,105,"1,000,000",45,1663,10,3-105-94/48รย,1663,ห้างหุ้นส่วนจำกัด เจนเนอรัล โปรไวเดอร์,คัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดในหมวด 1 ข้อ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ท้ายประกาศกระทรวงอุตสาหกรรมฉบับที่ 1 (พ.ศ.2541) บดย่อยพลาสติก และอัดเศษโลหะ,,21120,ตาขัน,บ้านค่าย,ระยอง,7
,เลขที่ 42,,105,"12,600,000",48,1664,10,3-105-5/57รย,1664,บริษัท ทรัพย์คงสมบูรณ์ รีไซเคิล จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,0383019897,21120,หนองบัว,บ้านค่าย,ระยอง,6
,เลขที่ 66/22,,105,"2,000,000",450,1665,8,3-105-29/58รย,1665,บริษัท ทรัพย์อนันต์ พลาสเทค จำกัด,คัดแยกวัสดที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย บดย่อยเศษพลาสติก ทำพลาสติกเป็นเม็ด แท่ง ท่อ หลอด แผ่น ชิ้น ผง หรือรูปทรงต่าง ๆ,,21120,หนองบัว,บ้านค่าย,ระยอง,3
,เลขที่ 155/9,หนองซิมสิว,105,"3,500,000",86,1666,4,3-105-104/60รย,1666,บริษัท ส.ทรงสิทธิ์รีไซเคิล จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,21120,หนองบัว,บ้านค่าย,ระยอง,1
,เลขที่ 69/14,,105,"9,200,000",27,1667,10,จ3-105-97/51รย,1667,ห้างหุ้นส่วนจำกัด เดชายิ่งเจริญ ทรานสปอร์ต,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,,21120,หนองบัว,บ้านค่าย,ระยอง,2
-,เลขที่ 87,-,105,"1,150,000",16,1668,6,จ3-105-101/52รย,1668,บริษัท ทองมา รีไซเคิล 2009 จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นอันตราย,,21120,หนองบัว,บ้านค่าย,ระยอง,10
