ประกอบกิจการ,คนงานหญิง,หมู่,ถนน,TSIC,เงินทุนรวม,เลขทะเบียนเดิม,โทรศัพท์,FID,factype,GPS_lng,_id,ลำดับ,แรงม้า,อนุญาต,ชื่อโรงงาน,ตำบล,GPS_lat,ซอย,อำเภอ,เลขที่,คนงานชาย,สิ้นอายุ,จังหวัด,คนงานรวม,ไปรษณีย์
ทำผลิตภัณฑ์จากโลหะ ผลิตและติดตั้งอุปกรณ์ไฟฟ้าหรือชิ้นส่วนอุปกรณ์ต่าง ๆ สำหรับใช้ในการติดตั้งอุปกรณ์ไฟฟ้า เช่น ตู้สวิทซ์บอร์ด เครื่องแปลงกระแสไฟฟ้า สวิทซ์,10,8,กาญจนาภิเษก,27103,55000000,จ3-74(3)-1/49นบ,0-2903-9999,-20120200125492-,3,,1302,1302,412.24,12/07/1463,บริษัท ภัทรอุตสาหกรรม จำกัด,บางม่วง,100.4035667,วัดพระเงิน,บางใหญ่,"เลขที่ 5, 5/2",25,13.82701667,นนทบุรี,35,11140
ผลิตสวิตซ์ เต้ารับ เต้าเสียบ และสายไฟฟ้า,6,10,,27103,27500000,จ3-74(3)-1/64นบ,21396251,-20120313825640-,3,100.428263,1303,1303,310,28/05/1478,บริษัท แพน-เอเชีย เคเบิ้ล จำกัด,คลองข่อย,13.977856,,ปากเกร็ด,เลขที่ 12/74,12,,นนทบุรี,18,11120
ผลิตตู้สวิทบอร์ด,0,3,บางบัวทอง-ไทรน้อย,27103,14000000,จ3-74(3)-2/35นบ,,-20120100225350-,3,,1304,1304,231.93,29/11/1453,บริษัท ที.พี.อี.สวิทบอร์ด แอนด์ เอ็นจิเนียริ่ง จำกัด,บางบัวทอง,100.3946333,สนเพชร,บางบัวทอง,เลขที่ 4/4,15,13.93528333,นนทบุรี,15,11110
ประกอบและซ่อมแซม ดวงโคมไฟฟ้า แสงสวิตซ์ไฟฟ้า และอุปกรณ์ที่ใช้กับสายไฟฟ้าต่าง ๆ,22,2,จงถนอม,27103,8000000,จ3-74(3)-2/37นบ, ,-20120300225374-,3,,1305,1305,518.51,18/08/1451,บริษัท จี.เค.แอสเซ็มบลี้ จำกัด,มหาสวัสดิ์,100.4290833,,บางกรวย,เลขที่ 110/9-10,48,13.80456667,นนทบุรี,70,11130
ทำอุปกรณ์ติดตั้ง หรือเต้าเสียบหลอดไฟฟ้า สวิทซ์ไฟฟ้า ติดตั้งตำนำ อุปกรณ์ที่ใช้กับสายไฟฟ้า หลอด หรือเครื่องประกอบสำหรับที่ร้อยสายไฟฟ้า,500000,10,กาญจนาภิเษก,126000000000,,จ3-74(3)-2/59นบ,,-20120100225590-,,,1306,1306,7,1200,บริษัท พีเพิล อีแอลอี.แอพไพลแอนซ์(ประเทศไทย) จำกัด,คลองข่อย,02/11/1473,,ปากเกร็ด,เลขที่ 17/9,0,0,นนทบุรี,2000000,
ทำขั้วต่อสายไฟฟ้า,45,2,กรุงนนท์-จงถนอม,27103,128120000,จ3-74(3)-3/37นบ,29852215,-20120200325373-,3,,1307,1307,381.87,,บริษัท เทอร์มินอล ลักส์ จำกัด,มหาสวัสดิ์,100.4278,,บางกรวย,เลขที่ 110/6,40,13.80303333,นนทบุรี,85,11130
ผลิตอุปกรณ์ติดตั้งและเครื่องประกอบสำหรับร้อยสายไฟจากพลาสติก เช่น ท่อร้อยสาย รางเดินสาย เป็นต้น,16000000,2,บางกรวย-ไทรน้อย,126000000000,,จ3-74(3)-3/53นบ,,-20120300325539-,,17/04/1469,1308,1308,19,5872,บริษัท พี.อาร์.ไอ.กรุ๊ป จำกัด,ไทรน้อย,29/07/1467,วัดคลองตาคล้าย,ไทรน้อย,เลขที่ 37/9,8500000,1,นนทบุรี,25000000,
ผลิตและติดตั้งตู้ควบคุมระบบไฟฟ้า,30000000,7,ทางหลวงหมายเลข 345,126000000000,,จ3-74(3)-4/57นบ,,-20120200425579-,,20/06/1471,1309,1309,24,3342,บริษัท ศิริประภา เอ็นจิเนียริ่ง จำกัด,คลองข่อย,26/03/1471,สหกรณ์การเกษตรปากเกร็ด,ปากเกร็ด,เลขที่ 10/12,10000000,1,นนทบุรี,50000000,
ผลิตอุปกรณ์ไฟฟ้า เช่น สวิตซ์ไฟฟ้า และผลิตอุปกรณ์ของเครื่องสูบน้ำ,2,5,บางไผ่-หนองเพรางาย,27103,11500000,จ3-74(3)-6/47นบ,,-20120100625476-,3,,1310,1310,143.32,20/10/1461,บริษัท ต้าฟัง อินดัสเทรียล จำกัด,บางคูรัด,100.3451,,บางบัวทอง,เลขที่ 38/2,13,13.9183,นนทบุรี,15,11110
ประกอบตู้ควบคุมไฟฟ้า,500000,8,,126000000000,,จ3-74(3)-6/60นบ,,-20120200625608-,,09/10/1474,1311,1311,11,800,บริษัท พี.เอ.แอนด์.ที.พรอสเพอริตี้ จำกัด,ลำโพ,15/08/1474,เต็มล้าน,บางบัวทอง,เลขที่ 15/27,1500000,1,นนทบุรี,1000000,
ผลิตชิ้นส่วนอุปกรณ์ไฟฟ้า เช่น บัลลาสท์อิเล็กทรอนิกส์,3000000,3,ทางหลวงหมายเลข 345,106000000000,,จ3-74(3)-8/53นบ,,-20120100825530-,,01/12/1467,1312,1312,0,2884,บริษัท ดับบลิว.ไอ.พี.อีเล็คทริค จำกัด,ลำโพ,03/11/1467,,บางบัวทอง,เลขที่ 55/5,11537600,1,นนทบุรี,2000000,
ผลิตและประกอบแบตเตอรี่ชนิดลิเธียม,4500000,7,อบจ.นบ.2044,126000000000,,จ3-74(5)-4/66นบ,,-20120168925669-,,29/03/1481,1313,1313,13,800,บริษัท เคอี คอร์ปอเรชั่น จำกัด,คลองขวาง,06/10/1480,,ไทรน้อย,เลขที่ 46,4900000,1,นนทบุรี,7500000,
ซ่อมและต่อตัวถังรถยนต์บรรทุก,500000,4,บางกรวย-จงถนอม,106000000000,,จ3-77(1)-1/39นบ,,-20120900125396-,,19/12/1454,1314,1314,30,11044,บริษัท นนทบุรีเทรลเลอร์ทรัคแอนด์บัส จำกัด,มหาสวัสดิ์,30/08/1453,,บางกรวย,เลขที่ 17/7,0,1,นนทบุรี,500000,
ผลิต ประกอบ ดัดแปลง และซ่อมแซมรถยนต์ทุกชนิด,3000000,6,พระพิมลราชา,126000000000,,จ3-77(1)-1/63นบ,,-20120011225630-,,19/09/1477,1315,1315,16,12492,บริษัท ลัคกี้ โปรเกรส ซัพพลาย จำกัด,ขุนศรี,16/01/1477,,ไทรน้อย,เลขที่ โฉนดเลขที่ 52887,25000000,1,นนทบุรี,14000000,
ผลิต ประกอบ เปลี่ยนแปลงสภาพรถยนต์ทุกชนิด,12,9,บางบัวทอง-สุพรรณบุรี,29109,158703500,จ3-77(1)-10/61นบ,,-20120001025610-,3,100.4033519,1316,1316,431,21/09/1475,บริษัท เบส ออโตโมทีฟ อินดัสตรี จำกัด,ละหาร,13.95198433,,บางบัวทอง,เลขที่ 40/21,28,,นนทบุรี,40,11110
ผลิต ประกอบ เปลี่ยนแปลงสภาพรถยนต์ทุกชนิด,12,7,บางบัวทอง-สุพรรณบุรี,29109,89629000,จ3-77(1)-11/61นบ,,-20120001125618-,3,100.3843353,1317,1317,431,21/09/1475,บริษัท ไดระซูกะ ออโต้พาร์ท จำกัด,ละหาร,13.98180046,,บางบัวทอง,เลขที่ 94/9,28,,นนทบุรี,40,11110
สร้าง ประกอบ ดัดแปลง และซ่อมแซมรถบรรทุก รถสไลด์ รถน้ำ รถขยะ รถดั๊มพ์ ,0,2,,29109,8000000,จ3-77(1)-12/68นบ,,-20120214125686-,3,,1318,1318,126,-,บริษัท ส.รุ่งเรือง บอดี้ ทรัค แอนด์ เซอร์วิส จำกัด,ขุนศรี,,,ไทรน้อย,เลขที่ 54/1,6,,นนทบุรี,6,11150
ประกอบและดัดแปลงรถยนต์ทุกชนิด เช่น รถพยาบาล รถกู้ภัย ฯลฯ,0,7,,29109,6560000,จ3-77(1)-13/62นบ,20509115,-20120259625624-,3,100.3308537,1319,1319,81.06,07/10/1476,ห้างหุ้นส่วนจำกัด เนชั่นไวด์ แอมบูแลนซ์ เซอร์วิส,ราษฎร์นิยม,14.05289058,,ไทรน้อย,เลขที่ 64/5,3,,นนทบุรี,3,11150
ประกอบ ดัดแปลง ซ่อมแซมรถยนต์ทุกชนิด เช่น รถดับเพลิง รถกู้ภัย รถเครน รถบรรทุกน้ำ รถดูดส้วม รถเทท้าย รถขยะ รถแทรกเตอร์ ฯลฯ,0,5,บางบัวทอง-สุพรรณบุรี,29109,13600000,จ3-77(1)-14/61นบ,02 5212145,-20120101425611-,3,,1320,1320,244.8,04/12/1475,บริษัท พัฒนกิจดำรง จำกัด,ไทรใหญ่,100.303044,,ไทรน้อย,เลขที่ 58,15,14.131007,นนทบุรี,15,10210
ดัดแปลงตัวถังรถยนต์เพื่อใช้เป็นรถตรวจการทางทหาร ตำรวจ รถพยาบาล รถดับเพลิง รถขยะ เป็นต้น,16800000,9,บางบัวทอง-สุพรรณบุรี,126000000000,,จ3-77(1)-19/57นบ,,-20120001925579-,,05/03/1472,1321,1321,80,50000,บริษัท เอส.เอส.เอส.ซัมมิท จำกัด,ละหาร,08/08/1471,,บางบัวทอง,เลขที่ 88/8,40000000,1,นนทบุรี,50000000,
ต่อกระบะรถยนต์บรรทุก รถพ่วง รถเซมิเทรลเลอร์,300000,13,ตลิ่งชัน-สุพรรณบุรี,3720000000000,,จ3-77(1)-2/37นบ,,-20120400225373-,,25/02/1453,1322,1322,15,584,เส็ง คอร์ปอเรชั่น,บางม่วง,20/11/1452,วัดปรางค์หลวง,บางใหญ่,เลขที่ 68/9,1500000,1,นนทบุรี,1000000,
สร้างประกอบดัดแปลงหรือเปลี่ยนสภาพรถยนต์ หรือรถพ่วง ซ่อมเครื่องยนต์ ซ่อมเครื่องล่าง ปะผุพ่นสี,0,3,,29109,12500000,จ3-77(1)-3/56นบ,0 2448 6475,-20120200325563-,3,,1323,1323,106.34,24/01/1470,ห้างหุ้นส่วนจำกัด ตลิ่งชัน เอ็นจิเนียริ่ง,คลองขวาง,100.326928,,ไทรน้อย,เลขที่ 48,20,14.018074,นนทบุรี,20,11150
ผลิต ประกอบ รถยนต์ รถบรรทุก รถพ่วงทุกชนิด,5000000,7,,414000000000,,จ3-77(1)-4/64นบ,,-20120381025644-,,13/06/1479,1324,1324,30,1600,บริษัท เอเชียทรัค แอนด์ซัพพลาย จำกัด,ลำโพ,22/07/1478,,บางบัวทอง,เลขที่ 99/19,10000000,1,นนทบุรี,1000000,
ดัดแปลงประกอบ ซ่อม ต่อตัวถังรถบรรทุก รถดับเพลิง รถบรรทุกน้ำ รถบรรทุกขยะ รถเทรลเลอร์ รถบรรทุกชานต่ำ รถกระบะบรรทุก รถเครนไฮดรอลิค รถกระเช้าซ่อมไฟฟ้า รถดูดสิ่งโสโครกและฉีดล้างท่อระบายน้ำ รถดูดสิ่งปฏิกูล และรถเฉพาะกิจต่างๆ เป็นต้น,0,1,,29109,2530000,จ3-77(1)-5/65นบ,839465969,-20120149825657-,3,,1325,1325,97.78,01/09/1479,ห้างหุ้นส่วนจำกัดอู่ชนะวัฒ,หนองเพรางาย,,,ไทรน้อย,เลขที่ โฉนดที่ดินเลขที่ 5201,13,,นนทบุรี,13,11150
สร้าง ประกอบ ดัดแปลง รถบรรทุกและรถบรรเทาสาธารณภัย,1000000,2,,126000000000,,จ3-77(1)-7/64นบ,,-20120432325647-,,27/10/1480,1326,1326,10,9600,บริษัท ดี เอ ดี เอ็นจิเนียริ่ง จำกัด,ทวีวัฒนา,20/09/1478,,ไทรน้อย,เลขที่ โฉนดเลขที่ 34068,24000000,1,นนทบุรี,2000000,
ผลิตและประกอบรถสามล้อเครื่องและรถยนต์,500000,10,วัดศรีเขต&ประตูน้ำพระอุดม,126000000000,,จ3-77(1)-9/61นบ,,-20120200925610-,,10/10/1475,1327,1327,15,555,บริษัท เอเอสเอ็ม สยาม จำกัด,คลองข่อย,19/07/1475,,ปากเกร็ด,เลขที่ 12/60,500000,1,นนทบุรี,500000,
ผลิต ประกอบ ดัดแปลง ซ่อมแซมรถยนต์ทุกประเภท และเครื่องอัดก๊าซ,14297000,4,สายบ้านคลองขวาง,108000000000,,จ3-77(1)-9/62นบ,,-20120166925620-,,26/07/1476,1328,1328,40,16728,บริษัท สแกน อินเตอร์ จำกัด (มหาชน),คลองขวาง,28/06/1476,,ไทรน้อย,เลขที่ 55/1,20000000,1,นนทบุรี,20000000,
ผลิตชิ้นส่วนของรถยนต์ ชิ้นส่วนอีเลคทรอนิกส์ และผลิตแม่พิมพ์ปั๊มโลหะสำหรับงานอุตสาหกรรม,19,4,345,29309,34000000,จ3-77(2)-16/58นบ,,-20120101625582-,3,,1329,1329,497.5,12/05/1472,บริษัท สยามซิง เมเทิลพาร์ท แอนด์ ทูลลิ่ง เอ็นเตอร์ไพรส์ จำกัด,คลองข่อย,100.4506019,,ปากเกร็ด,เลขที่ 32/1,31,13.94740378,นนทบุรี,50,11120
"ผลิตอุปกรณ์สำหรับรถยนต์ เช่น กันสาด,คิ้วล้อ",6000000,10,กาญจนาภิเษก,106000000000,,จ3-77(2)-2/45นบ,,-20120800225452-,,15/06/1461,1330,1330,68,18905,บริษัท เอ.โอ.เซพตี้ จำกัด,คลองข่อย,29/12/1459,วัดศรีเขตนันทาราม,ปากเกร็ด,เลขที่ 26/6,6000000,1,นนทบุรี,4000000,
ซ่อมและติดตั้งท่อไอเสียรถยนต์,1000000,3,ราชพฤกษ์,3320000000000,,จ3-77(2)-2/58นบ,,-20120200225581-,,29/01/1472,1331,1331,6,400,พัทเมกา,คลองข่อย,07/01/1472,,ปากเกร็ด,เลขที่ 11/10,0,1,นนทบุรี,500000,
ซ่อมหม้อน้ำรถยนต์ รถแทรคเตอร์ และซ่อมออยคูลเลอร์,1500000,10,กาญจนาภิเษก,124000000000,,จ3-77(2)-25/55นบ,,-20120002525550-,,24/04/1471,1332,1332,20,1702,ห้างหุ้นส่วนจำกัด อุดมเดช เรดิเอเตอร์,คลองข่อย,18/06/1469,เปาอินทร์แยก 7,ปากเกร็ด,เลขที่ 12/1,5600000,1,นนทบุรี,800000,
ทำชิ้นส่วนพิเศษและอุปกรณ์สำหรับรถยนต์จากพลาสติก เช่น ฝาครอบกระจกมองข้าง ครอบมือปิด-เปิดประตู เป็นต้น,5000000,2,ปทุมธานี-บางเลน,126000000000,,จ3-77(2)-37/55นบ,,-20120003725555-,,17/09/1469,1333,1333,30,9600,บริษัท วิเชียรโปรเกรสซีฟพาร์ท จำกัด,ขุนศรี,15/08/1469,,ไทรน้อย,เลขที่ 2/1,13200000,1,นนทบุรี,1000000,
ซ่อมหม้อน้ำรถยนต์ รถแทร็กเตอร์ และออยคูลเลอร์,1500000,5,แจ้งวัฒนะ,124000000000,,จ3-77(2)-4/47นบ,,-20120300425479-,,19/03/1461,1334,1334,15,174,ห้างหุ้นส่วนจำกัด อุดมเดช เรดิเอเตอร์,ปากเกร็ด,12/03/1461,-,ปากเกร็ด,เลขที่ 111/151-152,9000000,1,นนทบุรี,700000,
ซ่อมเครื่องกันสะเทือน (โช๊คอัพ) รถยนต์,500000,8,ติวานนท์,3100000000000,,จ3-77(2)-8/47นบ,,-20120100825472-,,05/04/1461,1335,1335,6,864,ติวานนท์โช๊คอัพ,บางกระสอ,17/03/1461,-,เมืองนนทบุรี,เลขที่ 54/89,2000000,1,นนทบุรี,200000,
ผลิตและประกอบรถสามล้อเครื่องและรถสามล้อไฟฟ้า,500000,10,,126000000000,,จ3-78(1)-1/66นบ,,-20120015125661-,,24/10/1480,1336,1336,0,180,บริษัท ไทยกิโก้ จำกัด,คลองข่อย,31/01/1480,เปาอินทร์ 6,ปากเกร็ด,เลขที่ 12/59,0,1,นนทบุรี,1000000,
ประกอบจักรยานไฟฟ้า และจักรยานยนต์ไฟฟ้า,4000000,3,,126000000000,,จ3-78(1)-4/66นบ,,-20120054925666-,,29/05/1480,1337,1337,25,3291,บริษัท ฮอทร็อค 2018 จำกัด,หนองเพรางาย,03/04/1480,,ไทรน้อย,เลขที่ 88/7,7000000,1,นนทบุรี,5000000,
ผลิตชิ้นส่วนอะไหล่รถจักรยานยนต์,6600000,5,,734000000000,,จ3-78(2)-2/65นบ,,-20120109125650-,,19/10/1479,1338,1338,20,1014,ห้างหุ้นส่วนจำกัด เทคนิคอล พรีซีชั่น,คลองขวาง,24/06/1479,,ไทรน้อย,เลขที่ 37,2400000,1,นนทบุรี,10000000,
ผลิตชิ้นส่วนรถจักรยานยนต์ เช่น ท่อไอเสีย,5000000,3,บางไผ่-หนองเพรางาย,124000000000,,จ3-78(2)-6/54นบ,,-20120300625540-,,09/06/1468,1339,1339,17,1600,ห้างหุ้นส่วนจำกัด วิเชียรทองนำโชค,หนองเพรางาย,11/05/1468,ลิ้มกุล,ไทรน้อย,เลขที่ 65/2,2000000,1,นนทบุรี,5000000,
"ห้องเย็น, แบ่งบรรจุ ผัก ผลไม้ เช่น มะขาม ผลิตภัณฑ์จากผัก ผลไม้",1000000,,,106000000000,,จ3-8(1)-10/68นบ,,-20120108625684-,,,1340,1340,0,720,บริษัท ไทย ควอลิตี้ ฟู๊ด จำกัด,ขุนศรี,01/07/1482,,ไทรน้อย,เลขที่ โฉนดที่ดินเลขที่ 42365,10000000,0,นนทบุรี,7000000,
ผลิตกาแฟที่ทำจากสมุนไพรและผลิตกาแฟเสริมอาหาร,6,5,,10302,15000000,จ3-8(1)-33/61นบ,,-20120103325611-,3,,1341,1341,66,27/09/1475,-,ลำโพ,100.411242,,บางบัวทอง,เลขที่ 55/73,4,13.974416,นนทบุรี,10,11110
ผลิตน้ำผัก น้ำผลไม้พร้อมดื่ม และน้ำผัก น้ำผลไม้เข้มข้น,105000000,8,ฤชุพันธ์ 3003,126000000000,,จ3-8(1)-4/65นบ,,-20120046125656-,,18/09/1480,1342,1342,58,56096,บริษัท ฟรุต แอนด์ เวจจี้ โซลูชั่น จำกัด,ราษฎร์นิยม,16/03/1479,,ไทรน้อย,เลขที่ 84,66000000,1,นนทบุรี,0,
ผลิตและแบ่งบบรจุอาหาร ธัญพืชหรือผลไม้ในภาชนะที่ผนึกและอากาศเข้าไม่ได้,2000000,,แจ้งวัฒนะ,126000000000,,จ3-8(1)-48/61นบ,,-20120004825610-,,25/02/1476,1343,1343,9,3156,บริษัท ยู แอนด์ วี อินเตอร์เทรด จำกัด,บางตลาด,21/12/1475,แจ้งวัฒนะ 28,ปากเกร็ด,เลขที่ 49/1555,10000000,1,นนทบุรี,20000000,
ผลิตอาหารเสริมจากพืชและแบ่งบรรจุสินค้าทั่วไปโดยไม่มีการผลิต เช่น แป้งข้าวโพดบรรจุถุง น้ำมันดอกทานตะวันบรรจุแค็ปซูล เป้นต้น,12,15,บางคูลัด-วัดพระเงิน,10302,57000000,จ3-8(1)-5/53นบ,0-2582-2611,-20120000525537-,3,,1344,1344,148.73,23/08/1467,บริษัท แฟร์ เมดดิซีน จำกัด,บางม่วง,100.3732431,บ้านพร้อมจิตร,บางใหญ่,เลขที่ 76/475,13,13.82911445,นนทบุรี,25,11140
ทำเครื่องดี่มจากผลไม้ที่บรรจุในภาชนะที่อากาศเข้าไม่ได้ และทำน้ำดื่ม,20,8,-,10302,16000000,จ3-8(1)-5/66นบ,638951169,-20120085225664-,3,,1345,1345,79.2,26/05/1480,นางสาวเจริญรัตน์ สะอาดเอี่ยม,ละหาร,100.386883,-,บางบัวทอง,เลขที่ 45/9,20,13.966258,นนทบุรี,40,11110
ทำน้ำผลไม้บรรจุขวดและปิดผนึก น้ำหวานเข้มข้นปรุงแต่งกลิ่น เครื่องดื่มชูกำลัง และเครื่องดื่มเพื่อสุขภาพ,10000000,7,,106000000000,,จ3-8(1)-7/54นบ,,-20120000725541-,,30/07/1469,1346,1346,16,5036,บริษัท ชินตร์ ชินตร์ จำกัด,ลำโพ,27/04/1468,,บางบัวทอง,เลขที่ 168,15000000,1,นนทบุรี,3500000,
ถนอมพืช ผัก ผลไม้ โดยวิธีทำให้เยือกแข็ง และทำอาหารจากพืช ผัก ผลไม้บรรจุในภาชนะที่ผนึกและอากาศเข้าไม่ได้,23,11,,10304,49000000,จ3-8(2)-4/65นบ,,-20120105125654-,3,,1347,1347,183.5,17/06/1479,บริษัท ธีรภัทรฟู้ดส์ จำกัด,คลองข่อย,100.403798,,ปากเกร็ด,เลขที่ 33/9,7,13.986095,นนทบุรี,30,11120
ผลิตรถเข็น ตู้ โต๊ะ ชั้นวางของจากโลหะ,7,10,-,30200,5000000,จ3-80-1/52นบ,02-4497693,-20120500125523-,3,,1348,1348,254.48,03/07/1466,บริษัท ทีม อีควิปเม้นท์ จำกัด,บางคูรัด,100.39379,-,บางบัวทอง,เลขที่ 20/1,14,13.89188,นนทบุรี,21,11110
"ผลิตเครื่องมือ,เครื่องใช้ หรืออุปกรณ์ในการวัดตรวจสอบ หรือบังคับควบคุมในการผลิตชิ้นส่วนรถยนต์ เช่น เครื่องมือในการวัดฝากระโปรงรถยนต์,ประตูรถ,หลังคารถ และชิ้นส่วนต่างๆ ของรถยนต์ทุกชนิด",4,2,สาย 345,33132,14143016,จ3-81(1)-1/49นบ,0-2926-1021,-20120300125491-,3,,1349,1349,65,03/03/1463,บริษัท ดีวินิตี้ ดีไซน์ แอนด์ ดีเวลลอปเม้นท์ จำกัด,ลำโพ,100.4337333,-,บางบัวทอง,เลขที่ 29/134,8,13.95371667,นนทบุรี,12,11110
ทำเครื่องมือ เครื่องใช้ หรืออุปกรณ์ทางการแพทย์,10000000,5,บางกรวย-ไทรน้อย,106000000000,,จ3-81(3)-1/45นบ,,-20121700125453-,,23/04/1459,1350,1350,17,804,บริษัท เมด-คอน (ประเทศไทย) จำกัด,ไทรน้อย,31/01/1459,,ไทรน้อย,เลขที่ 47,2100000,1,นนทบุรี,4000000,
ผลิตอุปกรณ์การแพทย์ (หลอดฉีดยาชนิดแก้ว) Glass syringe และหลอดแก้วรูปพรรณต่าง ๆ แก้วเป่าขึ้นรูปจากท่อแก้ว แก้ววิทยาศาสตร์,0,5,บางไผ่พัฒนา,32501,0,จ3-81(3)-1/47นบ,,-20120800125470-,3,,1351,1351,479.7,07/01/1461,บริษัท ไตรวิวัฒน์ อินเตอร์เทรด จำกัด,บางไผ่,100.4901,วัดทองนาปรัง,เมืองนนทบุรี,เลขที่ 117/14,56,13.81553333,นนทบุรี,56,11000
ทำฟันปลอมทุกชนิด,2500000,2,งามวงศ์วาน,126000000000,,จ3-81(3)-1/50นบ,,-20120000125502-,,26/05/1464,1352,1352,43,900,บริษัท เด็นทาเนียร์ จำกัด,บางเขน,10/04/1464,งามวงศ์วาน 25,เมืองนนทบุรี,เลขที่ 265/1,10000000,1,นนทบุรี,12000000,
"ผลิตอุปกรณ์การแพทย์(หลอดฉีดยาแก้ว),GLASS SYRINGE และหลอดแก้วรูปพรรณต่างๆ แก้วขึ้นรูปจากท่อแก้ว แก้ววิทยาศาสคร์",8,5,,32501,62356000,จ3-81(3)-3/59นบ,,-20120600325593-,3,,1353,1353,108.4,27/05/1473,บริษัท อมตะ เมดิแคร์ จำกัด,บางไผ่,100.4899,,เมืองนนทบุรี,"เลขที่ 117/14,117/33",9,13.8153,นนทบุรี,17,11000
ทำเครื่องมือ เครื่องใช้ หรืออุปกรณ์ทางการแพทย์ เช่น เสื้อกาวน์ หน้ากากอนามัย หมวกคลุมผม ถุงสวมรองเท้า,22704902,9,-,106000000000,,จ3-81(3)-3/66นบ,,-20120062425667-,,14/09/1480,1354,1354,50,9343,บริษัท เมด-คอน (ประเทศไทย) จำกัด,ไทรใหญ่,20/04/1480,-,ไทรน้อย,เลขที่ 47,24000000,1,นนทบุรี,3000000,
ทำเครื่องมือ เครื่องใช้ หรืออุปกรณ์การแพทย์,5000000,1,345,136000000000,,จ3-81(3)-4/65นบ,,-20120174025652-,,15/03/1480,1355,1355,20,1620,บริษัท แวสคิวลาร์ อินโนเวชั่นส์ จำกัด,บางตะไนย์,04/10/1479,,ปากเกร็ด,เลขที่ 88/37-38,0,1,นนทบุรี,10000000,
ทำเครื่องมือ เครื่องใช้ อุปกรณ์การแพทย์ทุกชนิด รวมถึงส่วนประกอบที่ทำจากพลาสติก กล่องพลาสติกสำหรับใส่เครื่องมือเครื่องใช้ต่าง ๆ เครื่องป้องกันไฟตกไฟกระชาก,20000000,1,เลียบคลองขุนศรี,126000000000,,จ3-81(3)-6/66นบ,,-20120101325662-,,28/11/1482,1356,1356,7,5999,บริษัท โอนิ เวิลด์ไวด์ เทรดดิ้ง จำกัด,ไทรใหญ่,29/06/1480,,ไทรน้อย,เลขที่ 17,21000000,1,นนทบุรี,20000000,
ผลิตฟันปลอม,5000000,2,งามวงศ์วาน,126000000000,,จ3-81(3)-8/58นบ,,-20120200825588-,,15/05/1474,1357,1357,91,1755,บริษัท เด็นทาเนียร์ จำกัด,บางเขน,01/10/1472,งามวงศ์วาน 25 แยก 6,เมืองนนทบุรี,เลขที่ 265,0,1,นนทบุรี,1000000,
ผลิตแว่นตาและอุปกรณ์แว่นตา,1000000,9,บางกรวย-ไทรน้อย,106000000000,,จ3-82-1/36นบ,,-20121300125366-,,02/04/1451,1358,1358,6,4556,บริษัท โรงงานแว่นตา อินเตอร์โกลด์ จำกัด,บางเลน,12/11/1450,,บางใหญ่,เลขที่ 89,7000000,1,นนทบุรี,300000,
ผลิตเลนส์แว่นตาพลาสติก,9000000,6,ตลิ่งชัน-สุพรรณบุรี,108000000000,,จ3-82-1/41นบ,,-20121100125418-,,18/06/1455,1359,1359,21,1000,บริษัท ไทยออพติคอลกรุ๊ป จำกัด (มหาชน),ละหาร,02/04/1455,,บางบัวทอง,เลขที่ 15/5,0,1,นนทบุรี,5000000,
ทำเครื่องประดับจากทองคำ,5000000,6,,3520000000000,,จ3-84(1)-1/66นบ,,-20120015225669-,,09/01/1481,1360,1360,6,743,-,บางใหญ่,31/01/1480,,บางใหญ่,เลขที่ 41/42,1000000,1,นนทบุรี,500000,
ทำเครื่องประดับ,2500000,2,แจ้งวัฒนะ,126000000000,,จ3-84(1)-2/44นบ,,-20120500225448-,,16/04/1459,1361,1361,77,0,บริษัท เมืองทอง แมนูแฟคเจอเรอร์ จำกัด,คลองเกลือ,-,แจ้งวัฒนะปากเกร็ด  41,ปากเกร็ด,เลขที่ 23/29,30000000,1,นนทบุรี,1500000,
ผลิต ประกอบ เครื่องประดับแท้และเทียม,79915545,5,กาญจนาภิเษก,106000000000,,จ3-84(1)-2/58นบ,,-20120300225580-,,20/04/1472,1362,1362,176,7948,บริษัท บอดี้สตีล แอนด์ ซิลเวอร์ จำกัด,บางแม่นาง,19/02/1472,แก้วอินทร์,บางใหญ่,เลขที่ 63 63/1 63/2,21500000,1,นนทบุรี,41152804,
ผลิตเครื่องประดับ เครื่องใช้ จากอัญมณีชนิดต่างๆ และเจียระไนพลอย,50,3,บางกรวย-จงถนอม,32111,39000000,จ3-84(1)-3/47นบ,02-8786388,-20120300325471-,3,,1363,1363,43.81,29/03/1461,บริษัท แมนดี้ จิวเวลรี่ จำกัด,มหาสวัสดิ์,100.4601167,,บางกรวย,เลขที่ 50/15,30,13.80398333,นนทบุรี,80,11130
ทำเครื่องประดับจาก ทอง เงิน เพชร พลอย และอัญมณี,30000000,6,,106000000000,,จ3-84(1)-5/64นบ,,-20120390125641-,,15/11/1480,1364,1364,142,9072,บริษัท อาร์ทิเนี่ยน จำกัด,บางขุนกอง,05/08/1478,,บางกรวย,เลขที่ 99,107900000,1,นนทบุรี,100000000,
